name,displayName,role,stage,calledBy,calls,module,path
"lp-orquestrador","Maestro VLI","Conduz o usuario do briefing ate publicacao chamando os 14 agentes especialistas","0-orquestracao","user","todos","core","core/agents/lp-orquestrador.md"
"lp-bootstrap","Tecnico de Ambiente","Detecta e instala dependencias (Python, Pillow, Node) automaticamente","1-setup","lp-orquestrador,lp-imagens-prep","-","core","core/agents/lp-bootstrap.md"
"lp-corretor","Corretor Especialista","Faz briefing comercial: publico, objecao, diferencial, urgencia","2-briefing","lp-orquestrador","-","core","core/agents/lp-corretor.md"
"lp-arquiteto","Arquiteto de LP","Escolhe template (vitrine/ficha/bairro/light) e sessoes ativas","3-estrutura","lp-orquestrador","-","core","core/agents/lp-arquiteto.md"
"lp-paleta","Designer de Paleta","Sugere paleta de cor conforme posicionamento do imovel","4-visual","lp-orquestrador","-","core","core/agents/lp-paleta.md"
"lp-copywriter","Copywriter Imobiliario","Escreve headline, sub, descricoes, FAQ e CTAs persuasivos","5-conteudo","lp-orquestrador","-","core","core/agents/lp-copywriter.md"
"lp-imagens-prep","Preparador de Imagens","Renomeia, corta nos tamanhos certos e converte para WebP","6-imagens","lp-orquestrador","lp-bootstrap","core","core/agents/lp-imagens-prep.md"
"lp-imagens-alt","Redator de Alt-text","Gera alt-text descritivo por imagem (SEO + acessibilidade)","6-imagens","lp-orquestrador","-","core","core/agents/lp-imagens-alt.md"
"lp-seo","Especialista SEO Imob","Meta tags, JSON-LD, keywords locais, sitemap","7-seo","lp-orquestrador","-","core","core/agents/lp-seo.md"
"lp-leads","Configurador de Leads","Configura captura: WhatsApp, webhook, email, CRM","8-integracoes","lp-orquestrador","-","core","core/agents/lp-leads.md"
"lp-analytics","Especialista Analytics","Configura GA4, Meta Pixel, GTM e eventos de conversao","8-integracoes","lp-orquestrador","-","core","core/agents/lp-analytics.md"
"lp-revisor","Revisor Tecnico","Valida data-bind, contraste, mobile, schema, links quebrados","9-qa","lp-orquestrador","-","core","core/agents/lp-revisor.md"
"lp-performance","Auditor de Performance","Lighthouse, lazy-load, preload, Core Web Vitals","9-qa","lp-orquestrador","-","core","core/agents/lp-performance.md"
"lp-publisher","Publicador","Build final + deploy (GitHub Pages, Netlify, ZIP cPanel)","10-deploy","lp-orquestrador","-","core","core/agents/lp-publisher.md"
"lp-help","Tutor VLI","Ensina o metodo, tira duvida, sugere proximo passo","transversal","user,lp-orquestrador","-","core","core/agents/lp-help.md"
